GENE,n
RDH5,24
RNASEH2A,24
RSPH3,24
SBDS,24
SCAF4,24
SCARB2,24
SPR,24
STAG2,24
STAT5B,24
STUB1,24
TANC2,24
TNNT1,24
TUBB2B,24
TYK2,24
YARS2,24
YWHAG,24
ZEB1,24
ABHD5,23
ACAD8,23
AGPAT2,23
ANKS6,23
ARCN1,23
ARL13B,23
ATP8A2,23
B3GALT6,23
B3GAT3,23
BICRA,23
C19orf12,23
CABP4,23
CEP120,23
CSRP3,23
CUX1,23
DDHD2,23
DLG3,23
DPYS,23
DRC1,23
DSPP,23
FAM83H,23
GANAB,23
GH1,23
ITPA,23
LCAT,23
LHX3,23
MSL3,23
NONO,23
NT5C2,23
OPLAH,23
POLG2,23
RAB3GAP2,23
RFX6,23
SLC1A4,23
SLC25A46,23
SLC5A5,23
STRA6,23
TPRN,23
WDR73,23
XDH,23
YY1,23
ZMYND10,23
ADAM9,22
ANO6,22
BMP2,22
C8A,22
CARD11,22
CAST,22
CNNM2,22
COCH,22
DPYD,22
EDNRB,22
EIF2B4,22
ERLIN2,22
FOXE3,22
FREM1,22
GJA8,22
GYS2,22
HPGD,22
HYDIN,22
IMPDH1,22
LSS,22
MECR,22
MEGF8,22
MEIS2,22
PDGFRB,22
PDHB,22
PDHX,22
PEX3,22
PKD1L1,22
PLOD2,22
POMGNT2,22
POU3F3,22
POU4F3,22
RFXANK,22
RRM2B,22
SAR1B,22
SBF1,22
SCNN1A,22
SHANK2,22
SKI,22
SNX14,22
STIM1,22
SUCLG1,22
TMC8,22
TOP3A,22
TUBB4A,22
UPF3B,22
WASHC5,22
ABCD4,21
ADAMTS10,21
ADCY10,21
AICDA,21
AMH,21
ARHGEF18,21
ARSL,21
AUH,21
BLTP1,21
CDT1,21
COL13A1,21
DDX11,21
FAT1,21
GNB5,21
HCN1,21
KARS1,21
KCNMA1,21
KCNQ5,21
KLHL3,21
MC2R,21
NARS2,21
NNT,21
NR2F2,21
ORC1,21
PPARG,21
PQBP1,21
PRNP,21
PSMD12,21
RBM10,21
RCBTB1,21
RSPH1,21
SCYL1,21
SMARCD2,21
SPI1,21
TBX3,21
TCAP,21
USP53,21
VARS2,21
ACTL6B,20
ADSS1,20
ALG3,20
ARPC1B,20
ASCC1,20
BCL10,20
CBL,20
CD36,20
CD63,20
CFAP418,20
CIB2,20
COASY,20
CRLF1,20
CTNND1,20
DNAJC12,20
DPAGT1,20
DRAM2,20
EARS2,20
ELOVL4,20
FAM20C,20
FLAD1,20
FNIP1,20
GARS1,20
GDF1,20
GOSR2,20
GPI,20
GPSM2,20
IGSF1,20
KCNJ10,20
LIAS,20
LMF1,20
MMP2,20
MPLKIP,20
NAA10,20
NDUFS1,20
NEK8,20
NFIB,20
ODAD1,20
PNPLA8,20
PRKCG,20
PRPS1,20
PTH1R,20
PUS7,20
RAB23,20
RARS1,20
RETREG1,20
RFXAP,20
RORA,20
SAG,20
SGPL1,20
SLC52A3,20
SLC5A1,20
SMAD2,20
STAG1,20
TNFRSF11A,20
USB1,20
USP7,20
VIPAS39,20
ABAT,19
ACADSB,19
ALB,19
ANKRD17,19
ANTXR2,19
APP,19
BLOC1S6,19
CD55,19
CDK10,19
CHD4,19
CNOT1,19
COG4,19
DYNC2I1,19
EPS8L2,19
FASTKD2,19
GNAT1,19
HMOX1,19
HPDL,19
IL10RA,19
IPO8,19
KCTD7,19
KRT6A,19
LRP4,19
MT-ATP6,19
MYEF2,19
NCF4,19
NDUFS6,19
NEMF,19
ODAD3,19
PHF8,19
PLOD3,19
PLPBP,19
POLK,19
POMGNT1,19
PPP2CA,19
PPP2R5D,19
PTPRC,19
PXDN,19
REEP6,19
RGS9,19
ROBO1,19
SIX3,19
SLC9A3,19
SUZ12,19
TAP2,19
TIMM8A,19
TPK1,19
TPM2,19
VCAN,19
XYLT1,19
AK2,18
AP1S2,18
BICD2,18
CARD9,18
COG7,18
CSF2RA,18
CTSF,18
DKC1,18
DOCK2,18
EPB41,18
F10,18
FERMT3,18
FOLR1,18
GATM,18
GLRB,18
GRIA3,18
HADH,18
HINT1,18
HSD3B7,18
IKBKB,18
ITSN1,18
KATNIP,18
KCNH1,18
KIF1C,18
LRRK1,18
MECOM,18
MMP13,18
NDUFAF6,18
ORC4,18
PIGT,18
PIK3C2A,18
POGLUT1,18
PRMT9,18
PRUNE1,18
PSMB8,18
PYROXD1,18
RIPK1,18
RNF14,18
RNF216,18
ROBO3,18
SCP2,18
SPART,18
STRADA,18
STX11,18
TNFRSF1A,18
ZNF341,18
AAGAB,17
ALG9,17
ARMC5,17
ATP2B1,17
C12orf57,17
CAV3,17
CHRDL1,17
CHRNB1,17
CIT,17
CLASP1,17
CNTN1,17
COQ9,17
D2HGDH,17
DCDC2,17
DDR2,17
DENND5A,17
DHDDS,17
DNAAF19,17
FCHO1,17
FGG,17
HACE1,17
HESX1,17
HIBCH,17
IFT43,17
IL17RA,17
IL6ST,17
KRT16,17
LEPR,17
LRRC56,17
MAFB,17
MORC2,17
NOD2,17
PLG,17
POC1A,17
SATB1,17
SMAD9,17
SORL1,17
SOX6,17
STAMBP,17
TARDBP,17
TCF3,17
TPM3,17
TTC19,17
UCHL1,17
ADAM17,16
AIMP1,16
ANK3,16
AP4E1,16
C2,16
CAPRIN1,16
CASP8,16
CEP41,16
CKAP2L,16
COG6,16
CRYGC,16
DLL4,16
DNM2,16
DVL1,16
EEF1A2,16
ENTPD5,16
ERBB2,16
FGF3,16
GUCA1A,16
HK1,16
IARS2,16
INS,16
ITK,16
KIF14,16
KLF1,16
KRT17,16
KYNU,16
MALT1,16
MARK2,16
MBTPS1,16
MED16,16
MIP,16
MT-CO1,16
MTHFD1,16
MTRFR,16
NAXE,16
NEXN,16
NT5C3A,16
PI4KA,16
PLCB4,16
PRKAG2,16
PRKAR1B,16
PRSS56,16
SIGMAR1,16
SLC12A2,16
SLC25A22,16
SLC46A1,16
SMPX,16
SUCLA2,16
TBX19,16
TUBB2A,16
VARS1,16
XPO1,16
XRCC4,16
ABL1,15
ALX4,15
ASPH,15
BCHE,15
C1R,15
CACNA1E,15
CDH2,15
COQ2,15
CWF19L1,15
DPM1,15
EPRS1,15
ESPN,15
FLVCR2,15
FSHR,15
FSIP2,15
FXN,15
GIPC3,15
GPIHBP1,15
HELLS,15
IGF2,15
LARS1,15
MADD,15
MEFV,15
MOCOS,15
MYH14,15
NCSTN,15
POMC,15
PPP1R21,15
REST,15
SFTPC,15
SLC25A4,15
SLC6A19,15
SNAP29,15
SNX27,15
SPTBN4,15
SRD5A3,15
TECRL,15
TET3,15
TFAP2B,15
TINF2,15
TPP2,15
TRIM8,15
UBA2,15
UNG,15
ZFHX3,15
ZNF335,15
ACBD5,14
ADGRL1,14
AIFM1,14
AP1G1,14
AP4S1,14
ARFGEF2,14
ATP6V1A,14
BMPER,14
CAMK2A,14
CD3E,14
CEP57,14
CFAP300,14
CFAP43,14
CLDN14,14
COG1,14
EGLN1,14
EGR2,14
FBXW7,14
FKBP14,14
FRYL,14
GNAL,14
GP6,14
GRHL2,14
GRIP1,14
GRXCR1,14
HUWE1,14
IFNAR1,14
IL11RA,14
JARID2,14
KCNE1,14
KRT9,14
LHFPL5,14
LRTOMT,14
MAF,14
MAP3K7,14
MBOAT7,14
MBTPS2,14
MMP21,14
MN1,14
MRPS22,14
NKX6-2,14
NRAS,14
OTUD6B,14
PAX1,14
PCSK9,14
PDGFB,14
PKDCC,14
PLCB1,14
PNLIP,14
PPP1R12A,14
PYCR2,14
RAB28,14
RASGRP2,14
RDX,14
RHAG,14
RP1L1,14
RSPH9,14
SLC16A1,14
SLC22A12,14
SLC26A5,14
SLC5A2,14
STK4,14
TALDO1,14
TBX6,14
TGFBI,14
TMEM147,14
TMEM260,14
TPM1,14
TREM2,14
TRMT1,14
UPB1,14
WDR72,14
AGTPBP1,13
ALDH1A3,13
ALK,13
AMELX,13
APOC2,13
ARL2BP,13
ASXL2,13
B3GLCT,13
BRD4,13
CA2,13
CALM2,13
CARD14,13
CCND2,13
CD27,13
CD3G,13
CLPP,13
CREB3L3,13
CRYAB,13
DMP1,13
DNAJB6,13
DRP2,13
DYNC2LI1,13
ETFB,13
EZH2,13
FMR1,13
FN1,13
GEMIN5,13
GJA3,13
GMPPA,13
GRHL3,13
HCN2,13
HCN4,13
HEPACAM,13
HSD11B2,13
HSF4,13
IDH3A,13
ITCH,13
KCND3,13
KPTN,13
LMBR1,13
MAP2K2,13
METTL23,13
MGME1,13
MYOC,13
NPRL2,13
PAX8,13
PDE4D,13
PLD1,13
PPP2R1A,13
PTHLH,13
REN,13
SEMA6B,13
SLC25A12,13
SMOC1,13
STIL,13
TBC1D32,13
TBXAS1,13
TELO2,13
TEX11,13
THOC6,13
TMEM126B,13
TMEM94,13
TOR1AIP1,13
TRAF3IP2,13
TRIT1,13
TUBB,13
TUBB8,13
UBAP1,13
WDR81,13
WNT10B,13
XK,13
APC2,12
APOE,12
ATP1A1,12
CCBE1,12
CD3D,12
CDC14A,12
CDC45,12
CPAMD8,12
DHH,12
DHX30,12
DIP2C,12
DNAJC19,12
DPM3,12
DSG4,12
EDEM3,12
EPHA2,12
ESRRB,12
EXPH5,12
GDF2,12
GK,12
GLUD1,12
HPSE2,12
HSPB8,12
HTRA2,12
LZTFL1,12
MASP1,12
MCIDAS,12
MYORG,12
NDUFAF2,12
NFU1,12
NSDHL,12
NUP107,12
OCLN,12
OPA3,12
ORC6,12
POLR2A,12
PRKCD,12
PRODH,12
RAB33B,12
RAC1,12
RD3,12
RIN2,12
SAMD9,12
SERPINH1,12
SHOC1,12
SMS,12
SRSF1,12
ST3GAL3,12
TDP2,12
THRA,12
TMEM138,12
TRMT10A,12
TUBA4A,12
ZBTB7A,12
ZDHHC9,12
AP1B1,11
ATP6V0C,11
B4GALT7,11
BCAP31,11
CALM1,11
CHD5,11
CLDN19,11
CSTB,11
DEGS1,11
DHX9,11
DNAJB2,11
DUOXA2,11
ENAM,11
FAM20A,11
FARSB,11
FGF10,11
FGF14,11
FTCD,11
GCNT2,11
GIGYF1,11
GNA11,11
GP1BB,11
GP9,11
GRIA2,11
GZF1,11
H3-3A,11
HACD1,11
HARS2,11
HBD,11
HECW2,11
IFT27,11
IL10RB,11
IL12B,11
INTS1,11
ITGA8,11
JAM3,11
KDM2B,11
KERA,11
KISS1R,11
LINS1,11
MAP3K1,11
MAP3K20,11
MDH2,11
MET,11
MSN,11
MYO1E,11
NCF1,11
NEK9,11
NR3C1,11
NUBPL,11
ORAI1,11
PABPN1,11
PAK3,11
PEX19,11
PGK1,11
PIDD1,11
PIGL,11
PIKFYVE,11
PPFIBP1,11
PRDM12,11
PUM1,11
RARB,11
RBM8A,11
RPS24,11
RSPO4,11
SFRP4,11
SHANK1,11
SIX1,11
SLC25A1,11
SLC25A19,11
SNX10,11
SOX4,11
SPINT2,11
SSR4,11
STAC3,11
STAG3,11
TAF1,11
TFE3,11
TMIE,11
TOE1,11
TRAF7,11
TRAPPC12,11
TRPV6,11
YARS1,11
ZP1,11
AASS,10
ADGRG2,10
ANKH,10
ATP6V1B2,10
BMPR1B,10
C1QBP,10
CAVIN1,10
CDC20,10
CDC42,10
CDK8,10
CEBPE,10
CELF2,10
CEP55,10
CHN1,10
CIB1,10
CRELD1,10
CTRC,10
DDB2,10
DNAJB11,10
DVL3,10
DZIP1L,10
ENTPD1,10
EOGT,10
F13B,10
FAR1,10
FDXR,10
FGB,10
FTSJ1,10
GAD1,10
GPD1,10
GPNMB,10
GTPBP2,10
GUCY1A1,10
HERC2,10
HYCC1,10
IDH3B,10
IL1RAPL1,10
IL2RA,10
KCTD1,10
KDM4B,10
KIFBP,10
LGI3,10
MAGED2,10
MLIP,10
MSTO1,10
MSX2,10
MYCBP2,10
NADSYN1,10
NCKAP1,10
NDUFA12,10
NDUFV2,10
NECTIN4,10
NEUROG3,10
NLRP7,10
NOVA2,10
NRCAM,10
OXCT1,10
PGAM2,10
PMPCA,10
POLRMT,10
PPIB,10
PRDM16,10
PUS3,10
RNPC3,10
RPL15,10
SCAPER,10
SCN3A,10
SFTPB,10
SFXN4,10
SIRT4,10
SLC24A5,10
SMPD4,10
SNRNP200,10
SPECC1L,10
STX3,10
TACR3,10
TACSTD2,10
TBC1D23,10
TEX15,10
TMCO1,10
TMTC3,10
TNFRSF9,10
TOPORS,10
TRAIP,10
TRIM14,10
TRPC6,10
TRPV3,10
TUSC3,10
UBIAD1,10
VAC14,10
XYLT2,10
ZBTB11,10
ZFP57,10
ACP4,9
ACVR1,9
ACY1,9
AFG2B,9
AGO2,9
AGT,9
AHCY,9
AKR1D1,9
ALX3,9
ANO3,9
ASCC3,9
BRSK2,9
C1QA,9
CACNA1D,9
CAMK2B,9
CAV1,9
CBLIF,9
CD40,9
CDH11,9
CEACAM16,9
CFAP298,9
CFAP44,9
COQ7,9
CRYAA,9
CRYGD,9
CSGALNACT1,9
DBH,9
DOCK11,9
DPH1,9
DRC2,9
DROSHA,9
ELP2,9
EPS8,9
F12,9
FGF23,9
FLT3,9
FTH1,9
GABRA2,9
GCM2,9
GLUL,9
GPT2,9
GRM1,9
HFM1,9
ICOS,9
IL36RN,9
KATNB1,9
KCNN2,9
KRT12,9
LCK,9
LIPH,9
LMAN1,9
LONP1,9
LYRM7,9
MAG,9
MCM8,9
MED23,9
NAXD,9
NCR1,9
NFKB2,9
NFKBIA,9
NLRP5,9
NOBOX,9
NUP188,9
OTULIN,9
P2RY12,9
PABPC1L,9
PADI6,9
PAPPA2,9
PARK7,9
PCYT1A,9
PIGK,9
PIK3C2G,9
PIK3CD,9
PLAA,9
PLN,9
POLR1D,9
PPA2,9
PRCD,9
PTBP1,9
RHOBTB2,9
RNASET2,9
RORC,9
RTN2,9
SLC33A1,9
SLC34A2,9
SLC39A14,9
SLC4A10,9
SLC5A6,9
SLURP1,9
SMO,9
SPEF2,9
SPG21,9
SPINK1,9
SPTLC1,9
SYT1,9
SYT2,9
TAF4,9
TBX22,9
TGM5,9
TMEM151A,9
TNFRSF11B,9
TNR,9
TRIM28,9
TRRAP,9
TSHB,9
TUB,9
UBAP2L,9
UBE2T,9
UGGT1,9
VPS16,9
WBP11,9
ZFPM2,9
ZNF699,9
ABCA2,8
ACTN2,8
ADPRS,8
AKT3,8
ANKRD26,8
ARF1,8
ARR3,8
ATAD3A,8
ATG7,8
ATP6V0A1,8
ATP9A,8
B9D1,8
BMP15,8
BMP4,8
BPNT2,8
CD19,8
CD247,8
CDC42BPB,8
CEP85L,8
CERS3,8
CORO1A,8
CPT1C,8
CREB3L1,8
CRIPT,8
CRYBB2,8
CSDE1,8
CYFIP2,8
DAG1,8
DCTN1,8
DEF6,8
DHODH,8
DLAT,8
DNAJC6,8
DNASE1L3,8
DOLK,8
DPM2,8
DTNBP1,8
DYNLT2B,8
EDARADD,8
EFEMP1,8
EIF4A2,8
EMC10,8
EPB42,8
FERRY3,8
FRA10AC1,8
GFI1B,8
GIGYF2,8
GLDN,8
GLS,8
GNAI1,8
GNAQ,8
GNB2,8
GOLGA2,8
GPX4,8
GRM7,8
GTF2H5,8
GTF3C3,8
GUCY2C,8
H3-3B,8
HBG2,8
HCFC1,8
HOXA13,8
HSD17B10,8
IFNAR2,8
IL1RN,8
KCNC2,8
KCNJ16,8
KIF21A,8
KITLG,8
KLHL24,8
LAT,8
LGI4,8
LHX4,8
LIG3,8
LRRK2,8
MACF1,8
MAOA,8
MFSD2A,8
MINPP1,8
MOS,8
MRAP,8
MSH4,8
NDE1,8
NFASC,8
NPM1,8
NUP93,8
PCBD1,8
PDE8B,8
PGM2L1,8
PIBF1,8
PIGS,8
PIK3R2,8
PLXNB2,8
PMFBP1,8
PRDM13,8
PRDX3,8
PRPF3,8
PRSS1,8
PSMB10,8
RAB39B,8
RAX2,8
RRAS2,8
SCARF2,8
SCNN1G,8
SCO1,8
SCUBE3,8
SERPINB7,8
SH3BP2,8
SH3PXD2B,8
SLA,8
SLC35C1,8
SLC35D1,8
SLC6A3,8
SOCS1,8
SORD,8
SPTLC2,8
ST14,8
THOC2,8
THPO,8
TIMP3,8
TTC12,8
UBE2A,8
UGDH,8
UNC79,8
VAMP2,8
WDR1,8
WDR11,8
WDR4,8
WNK3,8
YIF1B,8
ZNFX1,8
ACSM3,7
ACTN1,7
ADAMTSL2,7
ADK,7
AFF3,7
AGPS,7
AHR,7
AK1,7
ALDOA,7
ALG11,7
AP1S1,7
ARHGAP35,7
ATG4D,7
ATN1,7
ATP6AP1,7
BAZ2B,7
BCKDK,7
BLNK,7
C2orf69,7
CAMK2D,7
CD2AP,7
CFAP61,7
CFB,7
CHSY1,7
COA8,7
COG8,7
COX20,7
CRYBA1,7
CRYBA4,7
DCT,7
DNA2,7
DNAAF6,7
DNAH17,7
DNAJB13,7
DOT1L,7
DPF2,7
EIF2B3,7
ELF4,7
ERBB3,7
ERCC1,7
FBXO28,7
FGF8,7
FMN2,7
FOCAD,7
GCSH,7
GDI1,7
GJA5,7
GJB3,7
GLIS3,7
GLRX5,7
GM2A,7
GPC4,7
GRIN2D,7
GSDME,7
HARS1,7
HDAC4,7
HMGCS1,7
HNRNPH2,7
HYAL2,7
IFNGR2,7
IL2RB,7
INPP5K,7
ITGA3,7
JAM2,7
KAT8,7
KDM1A,7
KLKB1,7
KNG1,7
KRT2,7
LAMA5,7
LETM1,7
LMNB1,7
MAMLD1,7
MAPK1,7
MAPKBP1,7
MCFD2,7
MFF,7
MIPEP,7
MMP20,7
MPO,7
MPZL2,7
MSL2,7
MYH6,7
MYL2,7
NDUFA9,7
NDUFS7,7
NKX3-2,7
NLGN4X,7
NLRC4,7
NODAL,7
NR1H4,7
NRROS,7
ODAD4,7
OGT,7
OPN1LW,7
PADI3,7
PDE3A,7
PDE6D,7
PDGFRA,7
PGAP2,7
PKD1L1-AS1,7
PKP1,7
PLXNA1,7
POLA1,7
PPFIA3,7
PSEN2,7
PSENEN,7
QRSL1,7
RALGAPA1,7
RAX,7
RBP4,7
RFT1,7
RFX7,7
RPL13,7
RSRC1,7
SECISBP2,7
SF3B2,7
SLC10A7,7
SLC11A2,7
SLC18A2,7
SLC25A3,7
SLC2A9,7
SLC4A4,7
SLC6A9,7
SMARCD1,7
SMG8,7
SMG9,7
SOS2,7
STS,7
TCF7L2,7
TDRD7,7
TEX14,7
TPI1,7
TRAPPC6B,7
TSEN2,7
TTC29,7
TTI2,7
TWIST2,7
TXNDC15,7
TXNL4A,7
UNC45A,7
UNC93B1,7
VAMP1,7
VMA21,7
WASF1,7
ZNF148,7
ZNF408,7
ZNF711,7
ZNRF3,7
ACBD6,6
ACSL4,6
ACTC1,6
ACTL7A,6
ACTN4,6
ADAMTS19,6
ADARB1,6
AFF2,6
ALDH4A1,6
ALDH6A1,6
ALG2,6
AMFR,6
AMMECR1,6
ANG,6
ANO4,6
APOA5,6
ARHGAP29,6
ARMC2,6
ARNT2,6
ARV1,6
ATP13A3,6
BAIAP2,6
BCAS3,6
BCAT2,6
BRF1,6
C1GALT1C1,6
CA5A,6
CALM3,6
CELSR1,6
CFAP251,6
CFD,6
CFL2,6
CFP,6
CIROP,6
CLDN1,6
CLDN10,6
CLMP,6
CNP,6
COLGALT1,6
COPA,6
CPE,6
CRADD,6
DARS1,6
DDX6,6
DNAH2,6
DNAJC3,6
DNAJC30,6
DNAL1,6
DOCK3,6
DPY19L2,6
DRC4,6
EHMT2,6
EIF5A,6
EMILIN1,6
EML1,6
ESR1,6
FRMPD4,6
FZD5,6
FZD6,6
GABBR2,6
H6PD,6
HBG1,6
HID1,6
HNRNPH1,6
IFT52,6
IGH,6
IL21R,6
INPP4A,6
KASH5,6
KCNC3,6
KCNK3,6
KDM2A,6
KDM5A,6
KIF4A,6
KLF6,6
LDHA,6
LEP,6
LHB,6
LITAF,6
LRMDA,6
MAPK8IP3,6
MAPKAPK5,6
MAST1,6
MATN3,6
METTL5,6
METTL8,6
MGAT2,6
MKRN3,6
MRPS34,6
MTX2,6
MYBPC1,6
MYMK,6
MYO5A,6
NAA60,6
NARS1,6
NDUFS2,6
NHLRC2,6
NSMCE2,6
NTNG2,6
NXN,6
ODC1,6
OPN1MW,6
OSGEP,6
P4HTM,6
PATL2,6
PDE10A,6
PDE2A,6
PDSS1,6
PERP,6
PEX11B,6
PIGV,6
PIP5K1C,6
PISD,6
PLVAP,6
POFUT1,6
POPDC3,6
PPP1CB,6
PPP2R3C,6
PRKG2,6
PTCHD1,6
PTDSS1,6
PTF1A,6
REL,6
RFC4,6
RIPK4,6
RLIM,6
RNF213,6
RPIA,6
RPL35A,6
RPS10,6
RPS7,6
RPSA,6
RRAGD,6
SCN11A,6
SDR9C7,6
SERPINI1,6
SLC30A10,6
SLC38A3,6
SMARCAD1,6
SNAP25,6
SNAPC4,6
SNF8,6
STING1,6
TAF8,6
TBC1D2B,6
TCN1,6
TGDS,6
TMEM63B,6
TMX2,6
TNNC1,6
TNNI2,6
TOGARAM1,6
TOR1A,6
TRA2B,6
TRAK1,6
TRIP13,6
TTBK2,6
TTC21A,6
TTC5,6
TULP3,6
U2AF2,6
UBR5,6
UNC13A,6
UVSSA,6
VWA1,6
WARS2,6
WEE2-AS1,6
WIPF1,6
WNT7A,6
XPNPEP3,6
YY1AP1,6
ZFX,6
ZFYVE19,6
ZIC1,6
ZP2,6
ABCB6,5
ABHD16A,5
ACER3,5
ADAM22,5
ADGRG6,5
AFF4,5
AGTR1,5
ALG5,5
ANXA11,5
ARF3,5
ATP11A,5
ATP6AP2,5
B9D2,5
BAAT,5
BFSP1,5
BLOC1S3,5
BUB1,5
CA8,5
CAPN15,5
CARS1,5
CCDC65,5
CCIN,5
CCNQ,5
CCR2,5
CD79A,5
CDSN,5
CETP,5
CFAP54,5
CFAP58,5
CFAP65,5
CFAP74,5
CHCHD10,5
CHRNA3,5
COA7,5
COLEC11,5
COX10,5
CPSF1,5
CRBN,5
CTNNA2,5
CTU2,5
DACT1,5
DAGLA,5
DAW1,5
DCLRE1B,5
DDX59,5
DHX37,5
DNMT1,5
EDN3,5
EED,5
ELFN1,5
EMX2,5
EXOC6B,5
EXOC7,5
EXOSC5,5
FAM111A,5
FBLN5,5
FILIP1,5
FITM2,5
FLI1,5
FOXJ1,5
FUT1,5
GABRA5,5
GALM,5
GAS8,5
GFER,5
GFM2,5
GJB6,5
GLI1,5
GRID2,5
GRK1,5
GRXCR2,5
GSN,5
H4C5,5
HAAO,5
HAMP,5
HEATR3,5
HECTD4,5
HGF,5
HMGA2,5
HNRNPR,5
HOXA2,5
HS2ST1,5
IKZF1,5
IKZF5,5
IQCE,5
ITGB6,5
JPH2,5
KCNC1,5
KCND2,5
KCNH5,5
KCNJ5,5
KCNT2,5
KIAA0825,5
KICS2,5
KIF26A,5
KLHL20,5
KNL1,5
KRT86,5
LACC1,5
LDHD,5
LFNG,5
LHX2,5
LNPK,5
LRIG2,5
LRP1,5
MAD1L1,5
MAP4K4,5
MARS1,5
MAST3,5
MCEE,5
MCM7,5
MCM9,5
MEIOB,5
MESD,5
MPIG6B,5
MT-CO2,5
MYL4,5
MYOT,5
NCAPD3,5
NCKAP1L,5
NDUFAF3,5
NDUFS3,5
NECTIN1,5
NEK10,5
NLRP12,5
NTRK2,5
OTUD5,5
PAN2,5
PAX7,5
PCDHGA8,5
PIGC,5
PIGW,5
PITX3,5
PKHD1L1,5
PLA2G4A,5
PLCD1,5
PLCG2,5
PLIN1,5
PLXND1,5
PNLDC1,5
POLD1,5
POU4F1,5
PPP1R13L,5
PRKACB,5
PROKR2,5
PRORP,5
PRRX1,5
PTPRO,5
RAB18,5
RAC3,5
RAD51,5
RALA,5
RBBP8,5
RFC1,5
RHEB,5
RIMS2,5
RPL3L,5
RPS17,5
RPS6KC1,5
RSPO1,5
RSPRY1,5
SAMD7,5
SAMD9L,5
SDHAF1,5
SERPINA7,5
SLC24A4,5
SLC25A11,5
SLC25A26,5
SLF2,5
SLITRK6,5
SNRPB,5
SOST,5
SOX18,5
SRP54,5
STAT6,5
SULT2B1,5
SUN5,5
TBC1D20,5
TBC1D7,5
TCP1,5
TDRD9,5
TENM3,5
TF,5
TGFB1,5
THSD4,5
TLR7,5
TMEM126A,5
TMEM222,5
TMEM38B,5
TYMS,5
TYROBP,5
UBOX5,5
UBR7,5
UPF1,5
UROC1,5
USP8,5
VMA12,5
WDR83OS,5
WNT4,5
YIPF5,5
YWHAZ,5
ZMYND15,5
ZNF808,5
ZSCAN10,5
ABCB7,4
ADAM10,4
ADH5,4
AGO1,4
AIMP2,4
AKR1C2,4
AKT1,4
ALDH1A2,4
ALG13,4
AMD1,4
AMOTL1,4
AOPEP,4
AQP5,4
ATCAY,4
ATOH7,4
AURKC,4
AXIN1,4
BIN1,4
BOLA3,4
BPGM,4
C14orf39,4
C3orf52,4
CA4,4
CACNA1I,4
CAPN5,4
CASP10,4
CASP2,4
CASZ1,4
CEP295,4
CERT1,4
CFAP45,4
CFAP69,4
CHEK1,4
CHMP2B,4
CHRNB2,4
CHUK,4
CLCF1,4
CNPY3,4
COG2,4
COL25A1,4
COLEC10,4
COPB2,4
COQ6,4
COX11,4
CRYGS,4
CSTA,4
CXCR2,4
DAP3,4
DCN,4
DHX16,4
DLX3,4
DLX5,4
DNAJB4,4
