GENE,n
DNAJC5,4
DNASE1L1,4
DNMBP,4
DOHH,4
DSE,4
DTYMK,4
DYNC1I2,4
EDN1,4
EEF1D,4
EIF2S3,4
ELMO2,4
EPAS1,4
FBXL3,4
FBXO22,4
FBXO43,4
FGF13,4
FIGLA,4
FOSL2,4
FOXE1,4
FSHB,4
FUT8,4
FZD2,4
FZR1,4
GATA5,4
GBF1,4
GCGR,4
GCOM1,4
GDAP2,4
GJB4,4
GNAI2,4
GNAI3,4
GPATCH11,4
GPC6,4
GPR68,4
GRIA4,4
GRIK2,4
H4C3,4
HHAT,4
HNRNPA1,4
HNRNPA2B1,4
HOXA1,4
HOXC13,4
HSPA9,4
HTT,4
IDH1,4
IGF1,4
INSL3,4
IRF1,4
IRX5,4
ITGAV,4
ITPR3,4
JAK2,4
KCNK4,4
KCNN3,4
KDELR2,4
KIAA1549,4
KIF12,4
KIF22,4
KIF2A,4
KIF5C,4
KLK4,4
KPNA3,4
KRT6B,4
LEF1,4
LMNB2,4
LMOD2,4
LMX1A,4
LORICRIN,4
LRIT3,4
LRRC7,4
LTBP1,4
LYN,4
LYZ,4
MAGI2,4
MAPRE2,4
MARS2,4
MCM10,4
MED12L,4
MEOX1,4
MGP,4
MLPH,4
MRPL49,4
MSH5,4
MT-CO3,4
MT-CYB,4
MT-ND5,4
MTHFS,4
MVD,4
MXI1,4
MYC,4
MYD88,4
MYH10,4
MYL11,4
NDUFA6,4
NDUFAF8,4
NDUFB11,4
NDUFS8,4
NECAP1,4
NEDD4L,4
NEFH,4
NEUROD2,4
NFE2L2,4
NIPA1,4
NLGN3,4
NLRP1,4
NR6A1,4
NSUN3,4
NUP160,4
NUP214,4
OGDH,4
OSBPL2,4
OSMR,4
OVOL2,4
PAK1,4
PANX1,4
PCYT2,4
PDE6G,4
PDX1,4
PEX14,4
PGBD5,4
PI4KB,4
PMP2,4
PODXL,4
POLR1A,4
POMP,4
PSMC3,4
PSTPIP1,4
PTCD3,4
PTH,4
QRICH2,4
RAB7A,4
RAC2,4
RAP1B,4
RBL2,4
REEP2,4
RELT,4
RHCE,4
RNF13,4
RNF170,4
RNF43,4
RNU12,4
RNU2-2,4
RPL10,4
RPS20,4
SARM1,4
SCYL2,4
SEC61A1,4
SELENOI,4
SERPINF2,4
SFTPA1,4
SFTPA2,4
SH2B3,4
SHOC2,4
SIAH1,4
SIK1,4
SIM1,4
SLC30A2,4
SLC35A1,4
SLC44A1,4
SLITRK2,4
SNCA,4
SPARC,4
SPATA22,4
SPIDR,4
SPOP,4
SUPT16H,4
SYCE1,4
SYP,4
TAMM41,4
TAPT1,4
TBX18,4
TERB1,4
TFG,4
TGIF1,4
TGM6,4
THSD1,4
TIAM1,4
TIMM50,4
TMEM163,4
TMEM165,4
TMEM63A,4
TMEM63C,4
TNFSF11,4
TNPO2,4
TOP2B,4
TP53BP1,4
TP53RK,4
TP73,4
TRAF3,4
TRIM71,4
TRPM4,4
TRPM7,4
TSPOAP1,4
TTI1,4
TUBB1,4
TUBB4B,4
UBAP1L,4
UBE4A,4
UFSP2,4
USP27X,4
VMA22,4
VPS35L,4
VPS41,4
VPS4A,4
WDR37,4
WNT7B,4
XPR1,4
YRDC,4
ZFHX4,4
ZP3,4
ABCB1,3
ACD,3
ACTL9,3
ACVR1B,3
ADAMTS15,3
ADAMTS3,3
ADCY3,3
ADCY6,3
AK9,3
ALAD,3
ALKBH8,3
AMBN,3
ANAPC1,3
ANAPC15,3
ANKLE2,3
AP2S1,3
AQP1,3
ARHGAP19,3
ARHGAP31,3
ARHGDIA,3
ARL6IP1,3
ARMC12,3
ARSK,3
ASPRV1,3
ATAD1,3
ATP2B3,3
ATP5PO,3
B4GALT1,3
B4GAT1,3
BAX,3
BCAM,3
BCORL1,3
BFSP2,3
BGN,3
BLK,3
BORCS8-MEF2B,3
BSN,3
BTG4,3
BVES,3
C10orf71,3
CA12,3
CABP2,3
CACNA1G,3
CACNA2D1,3
CAP2,3
CAPN10,3
CAT,3
CBLB,3
CCDC146,3
CCN2,3
CCNF,3
CD59,3
CD70,3
CDK4,3
CDON,3
CELA2A,3
CFAP221,3
CFAP53,3
CHD1,3
CHRNA4,3
CILK1,3
CLCNKA,3
CLDN5,3
CMPK2,3
CNOT2,3
COL8A2,3
COPB1,3
CORIN,3
COX18,3
COX7B,3
CRLS1,3
CRNKL1,3
CRYBB3,3
CTBP2,3
CTH,3
CTR9,3
CYBC1,3
CYCS,3
CYP26B1,3
DAAM2,3
DCPS,3
DDOST,3
DHCR24,3
DLG5,3
DNAH10,3
DNAH7,3
DNASE2,3
DPH5,3
DSC3,3
DSCAM,3
EEF1B2,3
EPO,3
ERBB4,3
ERG,3
ERI1,3
ERLIN1,3
FAAP100,3
FAHD1,3
FAM111B,3
FAM149B1,3
FAM177A1,3
FARSA,3
FASLG,3
FBXW11,3
FDPS,3
FGF5,3
FGF9,3
FXR1,3
FYN,3
GABRA3,3
GALNT2,3
GCNA,3
GFRA1,3
GGPS1,3
GIMAP5,3
GLRA2,3
GLYCTK,3
GNB4,3
GRIA1,3
GSC,3
GSR,3
GTPBP1,3
GUK1,3
HCCS,3
HES7,3
HMGB1,3
HMGCR,3
HMX1,3
HNRNPC,3
HOMER2,3
HOXB1,3
HROB,3
HSPD1,3
IDH2,3
IGFALS,3
IL7,3
ING1,3
INTS11,3
INTU,3
IRF4,3
IRX4,3
ISG15,3
ITM2B,3
KAT5,3
KCNA5,3
KCNK9,3
KCNU1,3
KCTD17,3
KDF1,3
KDSR,3
KHDC3L,3
KRT3,3
KRT4,3
KRT6C,3
KRT74,3
LAGE3,3
LIM2,3
LIPC,3
LIPE,3
LMOD1,3
LRPAP1,3
MAN2B2,3
MAPK7,3
MCTS1,3
MDC1,3
MDFIC,3
MED25,3
MED27,3
MEF2A,3
MEI1,3
MGA,3
MICOS13,3
MINAR2,3
MNS1,3
MPDU1,3
MRPL44,3
MRTFB,3
MSRB3,3
MT-ND1,3
MT-ND3,3
MT-ND6,3
MYH7B,3
MYMX,3
MYOD1,3
NACC1,3
NAE1,3
NALF1,3
NAPB,3
NCDN,3
NDNF,3
NDST1,3
NDUFA10,3
NDUFA13,3
NDUFA2,3
NDUFAF1,3
NDUFB3,3
NDUFB8,3
NHP2,3
NIN,3
NLRP2,3
NPR3,3
NPTN,3
NSF,3
NSRP1,3
NTN1,3
NUP37,3
NUP54,3
NUP88,3
ODAPH,3
OXA1L,3
P2RX2,3
PACSIN3,3
PAX5,3
PDXK,3
PERCC1,3
PFN1,3
PHACTR1,3
PIGY,3
PIK3CG,3
PITRM1,3
PITX1,3
PLAAT3,3
PLD3,3
PLEKHM1,3
PMPCB,3
PMVK,3
POLR1B,3
POLR3GL,3
PRDM6,3
PRDM9,3
PRIM1,3
PRKACA,3
PRKRA,3
PRLR,3
PROK2,3
PSKH1,3
PSMG2,3
PSPH,3
PTPN14,3
PTPN4,3
PTPRJ,3
PTRHD1,3
RACGAP1,3
RAD54L,3
RBM28,3
RBSN,3
RCC1,3
RFX3,3
RGS9BP,3
RHOA,3
RNASEH1,3
RNF6,3
ROS1,3
RRAGC,3
RSPO2,3
SASH3,3
SASS6,3
SC5D,3
SEMA4A,3
SEPTIN9,3
SERPIND1,3
SGMS2,3
SIX6,3
SKOR2,3
SLC14A1,3
SLC1A2,3
SLC26A8,3
SLC30A9,3
SLC32A1,3
SLC35B2,3
SLC39A8,3
SLC5A7,3
SLC9A1,3
SLCO1B3,3
SLFN14,3
SMARCA5,3
SMARCC1,3
SMC5,3
SMOC2,3
SNAPIN,3
SNRPE,3
SP9,3
SPRED2,3
SPRTN,3
SREBF1,3
SRPK3,3
SSBP1,3
SSX1,3
STEEP1,3
STX16,3
SVBP,3
SYCP2,3
SYCP3,3
SYNCRIP,3
TACO1,3
TARS1,3
TARS2,3
TBC1D8B,3
TBX15,3
TEKT3,3
TENT5A,3
TIMMDC1,3
TKT,3
TLE6,3
TLL1,3
TLR8,3
TM2D3,3
TMEM98,3
TNNT3,3
TNPO3,3
TOMM7,3
TPM4,3
TRIM2,3
TRIM63,3
TRPM3,3
TSPAN7,3
TUBG1,3
TUFM,3
UBQLN2,3
UFC1,3
UMPS,3
UNC45B,3
UQCRC2,3
UQCRFS1,3
USP26,3
VEGFC,3
VKORC1,3
VPS11,3
VPS51,3
WASHC4,3
WNK4,3
WNT5A,3
WRAP53,3
YAP1,3
ZMYM3,3
ZNF423,3
ZNF526,3
ZNF644,3
ZSWIM6,3
ACACA,2
ACKR1,2
ADIPOQ,2
AFP,2
AGMO,2
AGR2,2
AKAP3,2
ALPK1,2
ALX1,2
AMACR,2
ANGPT2,2
ANKRD31,2
ANLN,2
ANO1,2
ANTXR1,2
APBB1,2
APOA4,2
APOC3,2
ARL3,2
ARPC5,2
ATIC,2
ATL3,2
ATP5F1A,2
ATP5F1D,2
ATP5MC3,2
ATP5ME,2
ATP5MK,2
AVIL,2
BAG5,2
BBIP1,2
BCLAF1,2
BHLHA9,2
BLOC1S5,2
BLVRA,2
BMP7,2
BNC2,2
C1QB,2
C1QC,2
CA1,2
CACNA1H,2
CACNA2D4,2
CACNB1,2
CALR,2
CAMK4,2
CAMSAP1,2
CAPNS1,2
CASQ1,2
CATSPER1,2
CBFB,2
CBX2,2
CBY1,2
CCDC22,2
CCDC32,2
CCDC34,2
CCDC47,2
CCDC8,2
CCT3,2
CD151,2
CD4,2
CD79B,2
CEMIP2,2
CENATAC,2
CEP112,2
CES1,2
CFAP206,2
CFC1,2
CHCHD2,2
CHMP1A,2
CHMP4B,2
CHRM3,2
CHRNA2,2
CIAO1,2
CIBAR1,2
CIROZ,2
CKS1B,2
CLCN3,2
CLDN11,2
CLDN9,2
CLIC5,2
CNN2,2
CNOT9,2
COA6,2
COX4I1,2
COX5A,2
COXFA4,2
CPN1,2
CPNE1,2
CSNK1D,2
CTNNA3,2
CUX2,2
CYB561,2
CYC1,2
CYP3A4,2
DDB1,2
DDRGK1,2
DDX17,2
DDX23,2
DDX25,2
DHFR,2
DHRS3,2
DIO1,2
DMC1,2
DNAH12,2
DOK1,2
DPP6,2
DPP9,2
DSTYK,2
DYRK1B,2
DZIP1,2
EDC3,2
EDNRA,2
EEF2,2
EFL1,2
EIF3F,2
ELOVL5,2
ENO3,2
ENTREP2,2
EPHB2,2
EPOR,2
ESRP1,2
EXOC3L2,2
EXOSC8,2
FAAH2,2
FAM110C,2
FBXO31,2
FBXO38,2
FEZF2,2
FGF12,2
FGF16,2
FHOD3,2
FKBP6,2
FLII,2
FMN1,2
FOXI3,2
FRMD5,2
FYB1,2
GATB,2
GCLC,2
GDF6,2
GDF9,2
GEMIN4,2
GGN,2
GMNN,2
GNB3,2
GNMT,2
GNRH1,2
GON4L,2
GON7,2
GPR156,2
GPRC5B,2
GSK3B,2
GSTZ1,2
GTF2E2,2
H4C9,2
HDAC6,2
HDC,2
HECTD1,2
HENMT1,2
HNRNPDL,2
HNRNPUL2,2
HOXB13,2
HPCA,2
HRG,2
HSCB,2
HSD11B1,2
HYOU1,2
IDH3G,2
IFITM5,2
IFNG,2
IFT56,2
IGF2R,2
IGFBP7,2
IGKC,2
IGSF3,2
IL10,2
IL17RD,2
IL2,2
INPP4B,2
INTS8,2
IQCN,2
IRS1,2
IRS4,2
ISCA2,2
ITPR2,2
IVNS1ABP,2
IYD,2
JAGN1,2
JAK1,2
JMJD1C,2
KANK2,2
KCNA6,2
KCNK18,2
KCNN4,2
KEL,2
KIF1B,2
KIF3B,2
KIF5B,2
KIRREL1,2
KLC2,2
KLHL15,2
KLK11,2
KPNA7,2
KREMEN1,2
KRT13,2
KRT25,2
LAS1L,2
LEMD2,2
LGR4,2
LIG1,2
LINGO1,2
LIPT1,2
LMAN2L,2
LMBRD2,2
LOC111365204,2
LRRC23,2
LRRC8C,2
LZTS1,2
M1AP,2
MCAT,2
MCC,2
MID2,2
MIEF1,2
MIR96,2
MLH3,2
MLX,2
MMP14,2
MOV10L1,2
MPC1,2
MPEG1,2
MRM2,2
MRPL3,2
MRPL39,2
MSMO1,2
MSR1,2
MT-ATP8,2
MT-ND4,2
MT-RNR2,2
MT-TL1,2
MTAP,2
MTIF2,2
MUC1,2
MYF5,2
MYL3,2
MYO1H,2
MYOCD,2
NAF1,2
NAV3,2
NCR3,2
NDUFA1,2
NDUFA11,2
NDUFA8,2
NDUFC2,2
NEUROD1,2
NEUROG1,2
NGF,2
NKAP,2
NOS1AP,2
NPTX1,2
NR0B2,2
NRAP,2
NSUN6,2
NT5E,2
OGDHL,2
OTUD7A,2
OXGR1,2
OXR1,2
P4HA2,2
PACS1,2
PAICS,2
PAM16,2
PARD3,2
PCK1,2
PDE11A,2
PDP1,2
PDSS2,2
PDZD8,2
PER2,2
PHC1,2
PHLDB1,2
PHOX2A,2
PI4K2A,2
PIGP,2
PIGU,2
PIP5K1B,2
PITPNM3,2
PLAG1,2
PLCH1,2
PNKD,2
POLR3K,2
POU6F2,2
PPCS,2
PPIL1,2
PPM1K,2
PRB3,2
PRDX1,2
PREP,2
PRICKLE1,2
PRICKLE2,2
PRIMA1,2
PRKD1,2
PRKDC,2
PSMA3,2
PSMB4,2
PSMC5,2
PSMD11,2
PTBP2,2
PTCH2,2
PTPA,2
PTPRA,2
PTRH2,2
RAB11B,2
RAB34,2
RAD9B,2
RAP1GDS1,2
RBBP5,2
RBFOX2,2
RBMX,2
RBPJ,2
REC114,2
REV3L,2
RFWD3,2
RIGI,2
RNF220,2
RNF31,2
RPA1,2
RPL26,2
RPS23,2
RREB1,2
RRP12,2
RUBCN,2
RUVBL1,2
S1PR2,2
SAMD8,2
SARS2,2
SASH1,2
SCAMP4,2
SCN3B,2
SCN4B,2
SCNM1,2
SEPHS1,2
SGMS1,2
SHARPIN,2
SHQ1,2
SIPA1L3,2
SLC13A3,2
SLC17A8,2
SLC1A3,2
SLC25A24,2
SLC25A36,2
SLC25A42,2
SLC39A5,2
SLC4A2,2
SLC6A17,2
SLC7A14,2
SLC9B1,2
SLCO1B1,2
SLIT2,2
SLITRK1,2
SMARCA1,2
SOHLH1,2
SOX17,2
SOX3,2
SP6,2
SPPL2A,2
SPTSSA,2
SQOR,2
SRSF2,2
STAT4,2
STT3A,2
STT3B,2
SUPT7L,2
SVIL,2
SYCP2L,2
SYNE2,2
TAC3,2
TAF13,2
TAF2,2
TAF6,2
TBP,2
TENM4,2
TERB2,2
THG1L,2
TIE1,2
TLCD3B,2
TLR1,2
TMEM106B,2
TMEM132E,2
TMEM218,2
TMEM240,2
TMEM53,2
TMTC4,2
TNC,2
TNNC2,2
TNNI3K,2
TRAPPC10,2
TRHR,2
TSPYL1,2
TUBA3D,2
TUBGCP2,2
TUFT1,2
UQCC2,2
UQCRC1,2
USP18,2
USP19,2
USP45,2
USP48,2
UTP14C,2
VAPB,2
VIM,2
VPS50,2
VPS53,2
VWA3B,2
WBP4,2
WDR5,2
WDR91,2
WIPI2,2
WLS,2
WNT2B,2
XRCC2,2
ZDHHC16,2
ZFTRAF1,2
ZMYND8,2
ZNF407,2
ZNF668,2
ZRSR2,2
ZSWIM7,2
A4GALT,1
ABCA13,1
ABCA5,1
ABCA7,1
ABCA8,1
ABCC1,1
ABCD3,1
ACKR3,1
ACOX2,1
ACR,1
ACSL5,1
ADAD2,1
ADD3,1
ADIPOR1,1
ADRA2A,1
ADRB1,1
AGPAT3,1
AGPAT5,1
AHSG,1
AKT2,1
ALG14,1
AMPD1,1
AMPD3,1
AMTN,1
ANAPC7,1
ANKS3,1
AP2M1,1
AP3D1,1
AP5B1,1
APCDD1,1
APOA2,1
APOO,1
APPL1,1
AQP4,1
ARHGAP5,1
ARHGEF2,1
ARL2,1
ASIC2,1
ASIC5,1
ASTL,1
ATOH1,1
ATP11C,1
ATP5F1B,1
ATP5F1E,1
ATP6V1C1,1
ATP6V1E1,1
ATP8A1,1
ATRIP,1
ATXN10,1
ATXN2,1
ATXN7,1
B2M,1
B3GALT1,1
BACH2,1
BAZ1A,1
BICC1,1
BMS1,1
BNC1,1
BOD1,1
BPHL,1
BPNT1,1
BRDT,1
BUD13,1
C10orf67,1
C2CD6,1
CACNB2,1
CACNB4,1
CALCRL,1
CAMK2G,1
CAPN6,1
CAPZA2,1
CARD10,1
CARS2,1
CATIP,1
CATSPERB,1
CCDC115,1
CCDC134,1
CCDC174,1
CCDC186,1
CCDC50,1
CCDC62,1
CCDC82,1
CCDST,1
CCKBR,1
CCL5,1
CCNB3,1
CCNK,1
CCPG1,1
CCT7,1
CD28,1
CD8A,1
CD96,1
CDC27,1
CDC40,1
CDK19,1
CDK5,1
CDK6,1
CDK9,1
CDKN1A,1
CEL,1
CENPE,1
CENPT,1
CEP19,1
CFAP47,1
CFAP70,1
CFAP91,1
CFHR3,1
CFHR5,1
CHAF1A,1
CHP1,1
CHRNB4,1
CIDEC,1
CISD2,1
CLCC1,1
CLCN6,1
CLDN2,1
CLEC3B,1
CLIP1,1
CLP1,1
CLRN2,1
CLUAP1,1
CLXN,1
COA5,1
COMT,1
COQ5,1
COX14,1
COX16,1
COX6A1,1
COX8A,1
CPA1,1
CPA6,1
CPLX1,1
CPSF3,1
CREB3,1
CRYGB,1
CSF2RB,1
CSNK1E,1
CST3,1
CST6,1
CSTF2,1
CT55,1
CTBP1,1
CTDP1,1
CTHRC1,1
CTNND2,1
CTPS1,1
CYB5A,1
CYP26C1,1
CYP2C8,1
CYP2C9,1
CYP7A1,1
CYS1,1
DAND5,1
DAZL,1
DBR1,1
DCXR,1
DENND5B,1
DGKG,1
DGKH,1
DGKZ,1
DHPS,1
DHRSX,1
DHX34,1
DIAPH3,1
DLC1,1
DMAC2L,1
DNAH14,1
DNAH3,1
DNAJC9,1
DNAL4,1
DNALI1,1
DNASE1,1
DPRX,1
DPT,1
DPYSL5,1
DSG3,1
DTNA,1
DUSP6,1
DUT-AS1,1
ECE1,1
EEFSEC,1
EFHC1,1
EGF,1
EIF2AK2,1
EIF4A3,1
ELMOD3,1
ELOVL1,1
ELP4,1
EMG1,1
EMP2,1
EN1,1
EPHA10,1
ERAL1,1
ERGIC1,1
ERMAP,1
ERMARD,1
ESAM,1
ESR2,1
ESRRG,1
ETS1,1
ETV5,1
EXOC2,1
EXOSC1,1
EXTL3,1
EZH1,1
FADD,1
FAM136A,1
FASN,1
FASTKD1,1
FCSK,1
FDX2,1
FEM1B,1
FEZF1,1
FEZF1-AS1,1
FFAR1,1
FGF17,1
FGF20,1
FGF4,1
FHIT,1
FIBP,1
FLG-AS1,1
FLRT3,1
FLT3LG,1
FNTA,1
FOXD2,1
FOXI1,1
FOXO1,1
FOXP4,1
FRG1,1
FRMD4A,1
FSD1L,1
FTO,1
FUZ,1
FXYD2,1
FZD3,1
GAB1,1
GABBR1,1
GABRB1,1
GABRD,1
GABRE,1
GABRG3,1
GAL,1
GALNT14,1
GAPDH,1
GARIN5A,1
GAS2,1
GAS2L2,1
GATAD1,1
GATC,1
GC,1
GDF11,1
GET3,1
GFI1,1
GHSR,1
GINS1,1
GJA4,1
GLIS2,1
GNA14,1
GNG3,1
GNPNAT1,1
GOT1,1
GPD2,1
GPR101,1
GPR161,1
GPR88,1
GPRASP2,1
GREM2,1
GRID1,1
GRK2,1
GSPT2,1
GTSF1,1
GUF1,1
GYPA,1
GYPC,1
H2AP,1
H4C11,1
HACL1,1
HAND2,1
HAO1,1
HCCS-DT,1
HCK,1
HCRT,1
HEATR4,1
HERPUD1,1
HEY2,1
HIF1A,1
HIKESHI,1
HLA-B,1
HLA-DRB1,1
HMCN1,1
HNMT,1
HNRNPD,1
HORMAD1,1
HOXA11,1
HOXD10,1
HS3ST6,1
HS6ST2,1
HYAL3,1
IER3IP1,1
IFT57,1
IGBP1,1
IKZF3,1
IL17RC,1
IL1R1,1
IL21,1
IL31RA,1
IL37,1
IMPA1,1
INPP5F,1
IQSEC1,1
IRF8,1
ISCA1,1
ISCU,1
ITGA4,1
ITIH6,1
JAG2,1
JAKMIP1,1
JPH1,1
JUN,1
KBTBD13,1
KCNE2,1
KCNIP1,1
KCNJ6,1
KCTD3,1
KDR,1
KGD4,1
KHK,1
KIF15,1
KIF19,1
KIF20A,1
KIF23,1
KIF24,1
KIF26B,1
KISS1,1
KLC4,1
KLF5,1
KLF7,1
KLHL10,1
KNSTRN,1
KRT71,1
KRT8,1
KRT81,1
KRT83,1
KRT85,1
L3MBTL2,1
LACTB,1
LATS1,1
LBHD1,1
LCP1,1
LCP2,1
LIMK1,1
LIMS2,1
LINC00373,1
LIPT2,1
LOC102724428,1
LOC110806306,1
LOXL3,1
LPA,1
LPCAT2,1
LRCH2,1
LRIF1,1
LRRC32,1
LRRC45,1
LRRCC1,1
LSM1,1
LSM11,1
LSM7,1
LTV1,1
LYRM4,1
LYSET,1
MAD2L2,1
MAFA,1
MANF,1
MAP1A,1
MAP3K14,1
MAP3K3,1
MAPKAPK3,1
MARCHF6,1
MARK3,1
MAT2A,1
MATR3,1
MAZ,1
MB,1
MC1R,1
MCM4,1
MCM5,1
MCMDC2,1
MCUR1,1
MED11,1
MED29,1
MIA3,1
MIB1,1
MICAL1,1
MICALL2,1
MIEF2,1
MIR184,1
MMP15,1
MMP19,1
MMP9,1
MOG,1
MPP4,1
MRPL12,1
MRPL42,1
MRPS14,1
MRPS16,1
MRPS2,1
MRPS23,1
MRPS25,1
MRPS28,1
MRTFA,1
MSTN,1
MT-TF,1
MT-TI,1
MT-TK,1
MT-TN,1
MT-TR,1
MT-TS1,1
MT-TV,1
MT-TW,1
MT-TY,1
MTCL1,1
MTPAP,1
MTSS2,1
MYH8,1
MYO1B,1
MYOF,1
N4BP2L2,1
NAA20,1
NADK2,1
NANOS1,1
NAPEPLD,1
NCAM1,1
NCAPD2,1
NCAPH,1
NCOA3,1
NDC1,1
NDUFA4,1
NDUFAF4,1
NDUFB10,1
NDUFB9,1
NEK2,1
NFATC2,1
NFXL1,1
NISCH,1
NIT1,1
NME5,1
NOP10,1
NPPA,1
NR1H3,1
NRIP1,1
NRXN3,1
NSMF,1
NUAK2,1
NUDT2,1
NUF2,1
NUMA1,1
NUP133,1
NUP155,1
NUP205,1
NUP62,1
NUP85,1
OAS1,1
OAS2,1
OPCML,1
OSBP,1
OXSM,1
P4HB,1
PABPC1,1
PACS2,1
PAEP,1
PAK2,1
PANK4,1
PARS2,1
PBRM1,1
PCGF2,1
PDCD6IP,1
PDCL2,1
PDE1C,1
PDE4DIP,1
PDGFRL,1
PDHA2,1
PDK3,1
PDYN,1
PER3,1
PFAS,1
PGGHG,1
PHF5A,1
PIGM,1
PLA1A,1
PLA2G2A,1
PLA2G5,1
PLCG1,1
PLEKHA3,1
PLEKHA5,1
PLK2,1
PMS1,1
POC5,1
POLA2,1
POLR2E,1
POLR3F,1
POPDC1,1
PPP1R35,1
PPP1R3F,1
PPP2R1B,1
PPP2R5C,1
PPP6R2,1
PRDM8,1
PRKCB,1
PRKCE,1
PRKG1,1
PSMB1,1
PSMB9,1
PSMC1,1
PSMC3IP,1
PTCRA,1
PTGIS,1
PTPMT1,1
PTPN1,1
PTPN12,1
PTPRF,1
RAB11A,1
RAB3A,1
RAB5IF,1
RABGAP1,1
RAD21L1,1
RAD51AP2,1
RAD54B,1
RALGAPB,1
RASA3,1
RBBP7,1
RBFOX1,1
RBFOX3,1
RC3H1,1
RCHY1,1
RCL1,1
RDH8,1
REC8,1
REDIC1,1
RELB,1
REPS1,1
RGR,1
RHBDF2,1
RHD,1
RIPOR2,1
RMP64,1
RNASEH2C,1
RNASEL,1
RNF113A,1
RNF125,1
RNF135,1
RNF157,1
RNF2,1
RNU6-8,1
RPH3A,1
RPL18,1
RPL21,1
RPL27,1
RPL35,1
RPS15A,1
RPS27,1
RPS29,1
RRM1,1
RRP7A,1
RUNX1T1,1
RXFP2,1
RYR3,1
SALL2,1
SAMD11,1
SARDH,1
SARS1,1
SCARB1,1
SCD5,1
SEC23A,1
SEC31A,1
SEL1L,1
SELENBP1,1
SEMA3D,1
SEMA7A,1
SENP7,1
SERPINA12,1
SERPINA3,1
SERPINA6,1
SERPINB6,1
SERPINB8,1
SERPINE1,1
SETSIP,1
SF3A1,1
SF3B1,1
SGO1,1
SGO2,1
SGSM3,1
SH3BGRL2,1
SIK3,1
SIN3B,1
SIX5,1
SLC10A2,1
SLC16A12,1
SLC16A13,1
SLC17A9,1
SLC22A18,1
SLC25A21,1
SLC25A25,1
SLC26A7,1
SLC27A2,1
SLC29A1,1
SLC2A9-AS3,1
SLC30A7,1
SLC31A1,1
SLC39A13,1
SLC39A7,1
SLC41A1,1
SLC4A3,1
SLC51A,1
SLC52A1,1
SLC66A1,1
SLC6A2,1
SLC6A6,1
SLC9A9,1
SLITRK3,1
SLPI,1
SMAP1,1
SNCB,1
SNUPN,1
SNURF,1
SP7,1
SPACA1,1
SPAG17,1
SPARCL1,1
SPIN4,1
SPINK2,1
SPRY4,1
SPTY2D1,1
SQLE,1
SRC,1
SRGAP1,1
SRI,1
SRP19,1
SRP68,1
SRPRA,1
SRPX2,1
ST6GALNAC5,1
STK33,1
STK36,1
STN1,1
STX1A,1
STX4,1
SUGCT,1
SUMF2,1
SV2A,1
SYK,1
SYN3,1
SYT14,1
TAF4B,1
TAOK2,1
TAPBP,1
TASP1,1
TBX2,1
TBX21,1
TBXT,1
TCEAL1,1
TCERG1,1
TDP1,1
TDRKH,1
TEAD1,1
TEAD3,1
TFRC,1
TGM3,1
THBD,1
THBS2,1
THOC1,1
THTPA,1
TIA1,1
TIMELESS,1
TIMM22,1
TMEM230,1
TMEM43,1
TMLHE,1
TNF,1
TNFRSF10B,1
TNFRSF13C,1
TNIK,1
TNK2,1
TOM1,1
TOP1,1
TOP6BL,1
TPRKB,1
TRA,1
TRAPPC14,1
TRAPPC2L,1
TRAPPC4,1
TRG-GCC2-6,1
TRIM33,1
TRIM36,1
TRK-TTT3-5,1
TRMT10C,1
TRMT5,1
TRPA1,1
TRPC3,1
TRPC4,1
TRPV5,1
TRU-TCA1-1,1
TSEN15,1
TSEN34,1
TSGA10,1
TSR2,1
TUBA8,1
TUBB6,1
TXN2,1
UBE3C,1
UBQLN4,1
UBTF,1
UFM1,1
UGP2,1
UNC119,1
UPF2,1
UQCRB,1
UQCRH,1
USP14,1
USP34,1
USP51,1
USP9Y,1
VANGL1,1
VAX1,1
VCL,1
VEZF1,1
VPS35,1
VPS37A,1
VPS45,1
VWCE,1
WARS1,1
WDR45B,1
WNT3,1
WWP2,1
XRCC1,1
YME1L1,1
YPEL3,1
ZBTB47,1
ZCCHC8,1
ZFP36L2,1
ZNF141,1
ZNF446,1
ZNF496,1
ZNF513,1
ZNF687,1
ZNF717,1
ZNF766,1
ZPBP,1
ZPR1,1
ZUP1,1
